"","Sub.Question","Question","Response","Freq","Percent","Count","Type"
"91","Block pop ups (unrequested windows that appear during web surfing)","431.20 - Competencies with digital life - Block pop ups (unrequested windows that appear during web surfing)","3:  Neither easy nor difficult",339,16.95,6,"Likert"
"92","Block pop ups (unrequested windows that appear during web surfing)","431.20 - Competencies with digital life - Block pop ups (unrequested windows that appear during web surfing)","6:  Don't know",341,17.05,6,"Likert"
"93","Block pop ups which promote apps, games or services you have to pay for (unrequested windows that appear during web surfing)","431.6 - Competencies with digital life - Block pop ups which promote apps, games or services you have to pay for (unrequested windows that appear during web surfing)","3:  Neither easy nor difficult",330,16.5,6,"Likert"
"94","Block pop ups which promote apps, games or services you have to pay for (unrequested windows that appear during web surfing)","431.6 - Competencies with digital life - Block pop ups which promote apps, games or services you have to pay for (unrequested windows that appear during web surfing)","5:  Very difficult",361,18.05,6,"Likert"
"95","Block pop ups which promote apps, games or services you have to pay for (unrequested windows that appear during web surfing)","431.6 - Competencies with digital life - Block pop ups which promote apps, games or services you have to pay for (unrequested windows that appear during web surfing)","1: Very easy",344,17.2,6,"Likert"
"96","Block pop ups which promote apps, games or services you have to pay for (unrequested windows that appear during web surfing)","431.6 - Competencies with digital life - Block pop ups which promote apps, games or services you have to pay for (unrequested windows that appear during web surfing)","2:  Easy",311,15.55,6,"Likert"
"97","Block pop ups which promote apps, games or services you have to pay for (unrequested windows that appear during web surfing)","431.6 - Competencies with digital life - Block pop ups which promote apps, games or services you have to pay for (unrequested windows that appear during web surfing)","6:  Don't know",325,16.25,6,"Likert"
"98","Block pop ups which promote apps, games or services you have to pay for (unrequested windows that appear during web surfing)","431.6 - Competencies with digital life - Block pop ups which promote apps, games or services you have to pay for (unrequested windows that appear during web surfing)","4:  Difficult",329,16.45,6,"Likert"
"105","Block unwanted adverts or junk mail/spam","431.15 - Competencies with digital life - Block unwanted adverts or junk mail/spam","4:  Difficult",328,16.4,6,"Likert"
"106","Block unwanted adverts or junk mail/spam","431.15 - Competencies with digital life - Block unwanted adverts or junk mail/spam","5:  Very difficult",334,16.7,6,"Likert"
"107","Block unwanted adverts or junk mail/spam","431.15 - Competencies with digital life - Block unwanted adverts or junk mail/spam","3:  Neither easy nor difficult",323,16.15,6,"Likert"
"108","Block unwanted adverts or junk mail/spam","431.15 - Competencies with digital life - Block unwanted adverts or junk mail/spam","1: Very easy",311,15.55,6,"Likert"
"109","Block unwanted adverts or junk mail/spam","431.15 - Competencies with digital life - Block unwanted adverts or junk mail/spam","6:  Don't know",345,17.25,6,"Likert"
"110","Block unwanted adverts or junk mail/spam","431.15 - Competencies with digital life - Block unwanted adverts or junk mail/spam","2:  Easy",359,17.95,6,"Likert"
"111","Blog or maintain a website about your personal life","355.3 - Leisure - Blog or maintain a website about your personal life","6:  Several times per day",285,14.25,7,"Likert"
"112","Blog or maintain a website about your personal life","355.3 - Leisure - Blog or maintain a website about your personal life","3:  Monthly",282,14.1,7,"Likert"
"113","Blog or maintain a website about your personal life","355.3 - Leisure - Blog or maintain a website about your personal life","1: Never",313,15.65,7,"Likert"
"114","Blog or maintain a website about your personal life","355.3 - Leisure - Blog or maintain a website about your personal life","2:  Less than Once a Month",313,15.65,7,"Likert"
"115","Blog or maintain a website about your personal life","355.3 - Leisure - Blog or maintain a website about your personal life","4:  Weekly",254,12.7,7,"Likert"
"116","Blog or maintain a website about your personal life","355.3 - Leisure - Blog or maintain a website about your personal life","7:  Don't know",290,14.5,7,"Likert"
"117","Blog or maintain a website about your personal life","355.3 - Leisure - Blog or maintain a website about your personal life","5:  Daily",263,13.15,7,"Likert"
"118","Bookmark a website","431.14 - Competencies with digital life - Bookmark a website","3:  Neither easy nor difficult",339,16.95,6,"Likert"
"119","Bookmark a website","431.14 - Competencies with digital life - Bookmark a website","6:  Don't know",335,16.75,6,"Likert"
"120","Bookmark a website","431.14 - Competencies with digital life - Bookmark a website","1: Very easy",331,16.55,6,"Likert"
"121","Bookmark a website","431.14 - Competencies with digital life - Bookmark a website","5:  Very difficult",312,15.6,6,"Likert"
"122","Bookmark a website","431.14 - Competencies with digital life - Bookmark a website","4:  Difficult",341,17.05,6,"Likert"
"123","Bookmark a website","431.14 - Competencies with digital life - Bookmark a website","2:  Easy",342,17.1,6,"Likert"
"160","Calling about a job","430.5 - Keeping in touch - Calling about a job","1: Not important at all",473,23.65,4,"Likert"
"161","Calling about a job","430.5 - Keeping in touch - Calling about a job","4:  Extremely important",512,25.6,4,"Likert"
"162","Calling about a job","430.5 - Keeping in touch - Calling about a job","3:  Fairly important",502,25.1,4,"Likert"
"163","Calling about a job","430.5 - Keeping in touch - Calling about a job","2:  A little important",513,25.65,4,"Likert"
"164","Change filter preferences","431.13 - Competencies with digital life - Change filter preferences","3:  Neither easy nor difficult",351,17.55,6,"Likert"
"165","Change filter preferences","431.13 - Competencies with digital life - Change filter preferences","5:  Very difficult",335,16.75,6,"Likert"
"166","Change filter preferences","431.13 - Competencies with digital life - Change filter preferences","1: Very easy",334,16.7,6,"Likert"
"167","Change filter preferences","431.13 - Competencies with digital life - Change filter preferences","4:  Difficult",326,16.3,6,"Likert"
"168","Change filter preferences","431.13 - Competencies with digital life - Change filter preferences","6:  Don't know",310,15.5,6,"Likert"
"169","Change filter preferences","431.13 - Competencies with digital life - Change filter preferences","2:  Easy",344,17.2,6,"Likert"
"170","Change privacy setting on a social networking profile","431.17 - Competencies with digital life - Change privacy setting on a social networking profile","6:  Don't know",323,16.15,6,"Likert"
"171","Change privacy setting on a social networking profile","431.17 - Competencies with digital life - Change privacy setting on a social networking profile","2:  Easy",366,18.3,6,"Likert"
"172","Change privacy setting on a social networking profile","431.17 - Competencies with digital life - Change privacy setting on a social networking profile","1: Very easy",352,17.6,6,"Likert"
"173","Change privacy setting on a social networking profile","431.17 - Competencies with digital life - Change privacy setting on a social networking profile","3:  Neither easy nor difficult",339,16.95,6,"Likert"
"174","Change privacy setting on a social networking profile","431.17 - Competencies with digital life - Change privacy setting on a social networking profile","4:  Difficult",290,14.5,6,"Likert"
"175","Change privacy setting on a social networking profile","431.17 - Competencies with digital life - Change privacy setting on a social networking profile","5:  Very difficult",330,16.5,6,"Likert"
"176","Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","338.4 - News seeking - Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","4:  Weekly",304,15.2,7,"Likert"
"177","Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","338.4 - News seeking - Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","3:  Monthly",293,14.65,7,"Likert"
"178","Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","338.4 - News seeking - Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","2:  Less than Once a Month",287,14.35,7,"Likert"
"179","Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","338.4 - News seeking - Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","7:  Don't know",297,14.85,7,"Likert"
"180","Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","338.4 - News seeking - Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","1: Never",273,13.65,7,"Likert"
"181","Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","338.4 - News seeking - Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","5:  Daily",271,13.55,7,"Likert"
"182","Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","338.4 - News seeking - Chat about relationships and friendships (e.g. via email, a social networking site, whatsapp, etc)","6:  Several times per day",275,13.75,7,"Likert"
"183","Close family friend","433.4 - Other sources of information on internet safety - Close family friend","5:  Daily",263,13.15,7,"Likert"
"184","Close family friend","433.4 - Other sources of information on internet safety - Close family friend","2:  Less than Once a Month",297,14.85,7,"Likert"
"187","Close family friend","433.4 - Other sources of information on internet safety - Close family friend","3:  Monthly",278,13.9,7,"Likert"
"188","Close family friend","433.4 - Other sources of information on internet safety - Close family friend","7:  Don't know",304,15.2,7,"Likert"
"189","Close family friend","433.4 - Other sources of information on internet safety - Close family friend","4:  Weekly",270,13.5,7,"Likert"
"190","Close family friend","433.4 - Other sources of information on internet safety - Close family friend","1: Never",299,14.95,7,"Likert"
"191","Close family friend","433.4 - Other sources of information on internet safety - Close family friend","6:  Several times per day",289,14.45,7,"Likert"
"192","Come across online lifestyle magazines / features / articles","355.1 - Leisure - Come across online lifestyle magazines / features / articles","3:  Monthly",289,14.45,7,"Likert"
"193","Come across online lifestyle magazines / features / articles","355.1 - Leisure - Come across online lifestyle magazines / features / articles","1: Never",283,14.15,7,"Likert"
"194","Come across online lifestyle magazines / features / articles","355.1 - Leisure - Come across online lifestyle magazines / features / articles","2:  Less than Once a Month",258,12.9,7,"Likert"
"195","Come across online lifestyle magazines / features / articles","355.1 - Leisure - Come across online lifestyle magazines / features / articles","5:  Daily",301,15.05,7,"Likert"
"196","Come across online lifestyle magazines / features / articles","355.1 - Leisure - Come across online lifestyle magazines / features / articles","4:  Weekly",293,14.65,7,"Likert"
"197","Come across online lifestyle magazines / features / articles","355.1 - Leisure - Come across online lifestyle magazines / features / articles","7:  Don't know",299,14.95,7,"Likert"
"198","Come across online lifestyle magazines / features / articles","355.1 - Leisure - Come across online lifestyle magazines / features / articles","6:  Several times per day",277,13.85,7,"Likert"
"199","Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","343.2 - Using the Internet to stay in touch - Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","3:  Monthly",273,13.65,7,"Likert"
"200","Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","343.2 - Using the Internet to stay in touch - Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","1: Never",264,13.2,7,"Likert"
"201","Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","343.2 - Using the Internet to stay in touch - Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","4:  Weekly",296,14.8,7,"Likert"
"202","Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","343.2 - Using the Internet to stay in touch - Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","2:  Less than Once a Month",280,14,7,"Likert"
"203","Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","343.2 - Using the Internet to stay in touch - Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","5:  Daily",284,14.2,7,"Likert"
"204","Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","343.2 - Using the Internet to stay in touch - Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","6:  Several times per day",316,15.8,7,"Likert"
"205","Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","343.2 - Using the Internet to stay in touch - Comment on the updates friends or family put online (e.g. email, status / photos on social networking sites)","7:  Don't know",287,14.35,7,"Likert"
"212","Compare different websites to decide if information is true","431.12 - Competencies with digital life - Compare different websites to decide if information is true","2:  Easy",343,17.15,6,"Likert"
"213","Compare different websites to decide if information is true","431.12 - Competencies with digital life - Compare different websites to decide if information is true","3:  Neither easy nor difficult",325,16.25,6,"Likert"
"214","Compare different websites to decide if information is true","431.12 - Competencies with digital life - Compare different websites to decide if information is true","4:  Difficult",337,16.85,6,"Likert"
"215","Compare different websites to decide if information is true","431.12 - Competencies with digital life - Compare different websites to decide if information is true","6:  Don't know",301,15.05,6,"Likert"
"216","Compare different websites to decide if information is true","431.12 - Competencies with digital life - Compare different websites to decide if information is true","5:  Very difficult",324,16.2,6,"Likert"
"217","Compare different websites to decide if information is true","431.12 - Competencies with digital life - Compare different websites to decide if information is true","1: Very easy",370,18.5,6,"Likert"
"218","Compare reviews of insurance policies . car/health/life or other insurance)","328.8 - Buying and Selling - Compare reviews of insurance policies . car/health/life or other insurance)","7:  Don't know",280,14,7,"Likert"
"219","Compare reviews of insurance policies . car/health/life or other insurance)","328.8 - Buying and Selling - Compare reviews of insurance policies . car/health/life or other insurance)","3:  Monthly",268,13.4,7,"Likert"
"220","Compare reviews of insurance policies . car/health/life or other insurance)","328.8 - Buying and Selling - Compare reviews of insurance policies . car/health/life or other insurance)","5:  Daily",265,13.25,7,"Likert"
"221","Compare reviews of insurance policies . car/health/life or other insurance)","328.8 - Buying and Selling - Compare reviews of insurance policies . car/health/life or other insurance)","1: Never",316,15.8,7,"Likert"
"222","Compare reviews of insurance policies . car/health/life or other insurance)","328.8 - Buying and Selling - Compare reviews of insurance policies . car/health/life or other insurance)","6:  Several times per day",293,14.65,7,"Likert"
"223","Compare reviews of insurance policies . car/health/life or other insurance)","328.8 - Buying and Selling - Compare reviews of insurance policies . car/health/life or other insurance)","2:  Less than Once a Month",313,15.65,7,"Likert"
"224","Compare reviews of insurance policies . car/health/life or other insurance)","328.8 - Buying and Selling - Compare reviews of insurance policies . car/health/life or other insurance)","4:  Weekly",265,13.25,7,"Likert"
"225","Complete an online form for a national government service","349.3 - Engaging with Institutions - Complete an online form for a national government service","4:  Weekly",263,13.15,7,"Likert"
"226","Complete an online form for a national government service","349.3 - Engaging with Institutions - Complete an online form for a national government service","1: Never",255,12.75,7,"Likert"
"227","Complete an online form for a national government service","349.3 - Engaging with Institutions - Complete an online form for a national government service","2:  Less than Once a Month",281,14.05,7,"Likert"
"228","Complete an online form for a national government service","349.3 - Engaging with Institutions - Complete an online form for a national government service","6:  Several times per day",308,15.4,7,"Likert"
"229","Complete an online form for a national government service","349.3 - Engaging with Institutions - Complete an online form for a national government service","5:  Daily",295,14.75,7,"Likert"
"230","Complete an online form for a national government service","349.3 - Engaging with Institutions - Complete an online form for a national government service","7:  Don't know",295,14.75,7,"Likert"
"231","Complete an online form for a national government service","349.3 - Engaging with Institutions - Complete an online form for a national government service","3:  Monthly",303,15.15,7,"Likert"
"232","Connect to a wifi network from your smartphone/tablet","431.3 - Competencies with digital life - Connect to a wifi network from your smartphone/tablet","6:  Don't know",342,17.1,6,"Likert"
"233","Connect to a wifi network from your smartphone/tablet","431.3 - Competencies with digital life - Connect to a wifi network from your smartphone/tablet","5:  Very difficult",318,15.9,6,"Likert"
"234","Connect to a wifi network from your smartphone/tablet","431.3 - Competencies with digital life - Connect to a wifi network from your smartphone/tablet","2:  Easy",333,16.65,6,"Likert"
"235","Connect to a wifi network from your smartphone/tablet","431.3 - Competencies with digital life - Connect to a wifi network from your smartphone/tablet","4:  Difficult",341,17.05,6,"Likert"
"236","Connect to a wifi network from your smartphone/tablet","431.3 - Competencies with digital life - Connect to a wifi network from your smartphone/tablet","3:  Neither easy nor difficult",343,17.15,6,"Likert"
"237","Connect to a wifi network from your smartphone/tablet","431.3 - Competencies with digital life - Connect to a wifi network from your smartphone/tablet","1: Very easy",323,16.15,6,"Likert"
"238","Contact people who share religious or spiritual beliefs","340.8 - Entertainment - Contact people who share religious or spiritual beliefs","3:  Monthly",277,13.85,7,"Likert"
"239","Contact people who share religious or spiritual beliefs","340.8 - Entertainment - Contact people who share religious or spiritual beliefs","2:  Less than Once a Month",265,13.25,7,"Likert"
"240","Contact people who share religious or spiritual beliefs","340.8 - Entertainment - Contact people who share religious or spiritual beliefs","5:  Daily",299,14.95,7,"Likert"
"241","Contact people who share religious or spiritual beliefs","340.8 - Entertainment - Contact people who share religious or spiritual beliefs","7:  Don't know",296,14.8,7,"Likert"
"242","Contact people who share religious or spiritual beliefs","340.8 - Entertainment - Contact people who share religious or spiritual beliefs","1: Never",304,15.2,7,"Likert"
"243","Contact people who share religious or spiritual beliefs","340.8 - Entertainment - Contact people who share religious or spiritual beliefs","6:  Several times per day",294,14.7,7,"Likert"
"244","Contact people who share religious or spiritual beliefs","340.8 - Entertainment - Contact people who share religious or spiritual beliefs","4:  Weekly",265,13.25,7,"Likert"
"245","Contacting a doctor or other medical service","430.13 - Keeping in touch - Contacting a doctor or other medical service","2:  A little important",513,25.65,4,"Likert"
"246","Contacting a doctor or other medical service","430.13 - Keeping in touch - Contacting a doctor or other medical service","3:  Fairly important",502,25.1,4,"Likert"
"247","Contacting a doctor or other medical service","430.13 - Keeping in touch - Contacting a doctor or other medical service","1: Not important at all",491,24.55,4,"Likert"
"248","Contacting a doctor or other medical service","430.13 - Keeping in touch - Contacting a doctor or other medical service","4:  Extremely important",494,24.7,4,"Likert"
"249","Contacting emergency services","430.12 - Keeping in touch - Contacting emergency services","2:  A little important",492,24.6,4,"Likert"
"250","Contacting emergency services","430.12 - Keeping in touch - Contacting emergency services","4:  Extremely important",482,24.1,4,"Likert"
"251","Contacting emergency services","430.12 - Keeping in touch - Contacting emergency services","3:  Fairly important",534,26.7,4,"Likert"
"252","Contacting emergency services","430.12 - Keeping in touch - Contacting emergency services","1: Not important at all",492,24.6,4,"Likert"
"253","Contacting family","430.3 - Keeping in touch - Contacting family","2:  A little important",515,25.75,4,"Likert"
"254","Contacting family","430.3 - Keeping in touch - Contacting family","3:  Fairly important",482,24.1,4,"Likert"
"255","Contacting family","430.3 - Keeping in touch - Contacting family","4:  Extremely important",508,25.4,4,"Likert"
"256","Contacting family","430.3 - Keeping in touch - Contacting family","1: Not important at all",495,24.75,4,"Likert"
"257","Contacting support services","430.4 - Keeping in touch - Contacting support services","4:  Extremely important",470,23.5,4,"Likert"
"258","Contacting support services","430.4 - Keeping in touch - Contacting support services","2:  A little important",504,25.2,4,"Likert"
"259","Contacting support services","430.4 - Keeping in touch - Contacting support services","3:  Fairly important",502,25.1,4,"Likert"
"260","Contacting support services","430.4 - Keeping in touch - Contacting support services","1: Not important at all",524,26.2,4,"Likert"
"261","Create a blog","431.24 - Competencies with digital life - Create a blog","1: Very easy",337,16.85,6,"Likert"
"262","Create a blog","431.24 - Competencies with digital life - Create a blog","3:  Neither easy nor difficult",340,17,6,"Likert"
"263","Create a blog","431.24 - Competencies with digital life - Create a blog","2:  Easy",326,16.3,6,"Likert"
"264","Create a blog","431.24 - Competencies with digital life - Create a blog","4:  Difficult",299,14.95,6,"Likert"
"265","Create a blog","431.24 - Competencies with digital life - Create a blog","5:  Very difficult",344,17.2,6,"Likert"
"266","Create a blog","431.24 - Competencies with digital life - Create a blog","6:  Don't know",354,17.7,6,"Likert"
"267","Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","332.6 - Information seeking - Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","5:  Daily",301,15.05,7,"Likert"
"268","Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","332.6 - Information seeking - Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","3:  Monthly",293,14.65,7,"Likert"
"269","Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","332.6 - Information seeking - Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","6:  Several times per day",272,13.6,7,"Likert"
"270","Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","332.6 - Information seeking - Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","4:  Weekly",310,15.5,7,"Likert"
"271","Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","332.6 - Information seeking - Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","7:  Don't know",262,13.1,7,"Likert"
"272","Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","332.6 - Information seeking - Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","2:  Less than Once a Month",291,14.55,7,"Likert"
"273","Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","332.6 - Information seeking - Create or share a CV on a professional and work related site (e.g. Linkedin, Monsterboard)","1: Never",271,13.55,7,"Likert"
"276","Deactivate the function showing your geographical position (on Facebook, Google Maps, etc?)","431.2 - Competencies with digital life - Deactivate the function showing your geographical position (on Facebook, Google Maps, etc?)","5:  Very difficult",348,17.4,6,"Likert"
